cntrQ,idc,image_name,image_link,numMask,alt_mask,flips,focus
17,3,idc3-sF-rO-qry_hO_gte_1-flips_h1v1-nMasks_2-dMask_easy-dCmplx_HMM-fcs_WHAT_Qn-bsln_31.72)43.31)24.92_t-cntrQ_17.png,IM_8wcehf4hAbnl6S2,2,easy,h1v1,WHAT_Qn
71,3,idc3-sF-rO-qry_hO_gte_1-flips_h1v1-nMasks_2-dMask_easy-dCmplx_HMM-fcs_WHERE-bsln_56.84)33.25)24.69_f-cntrQ_71.png,IM_7WZDCH4jn1XzSv4,2,easy,h1v1,WHERE
233,3,idc3-sF-rO-qry_wO_gte_1-flips_h1v1-nMasks_10-dMask_hard-dCmplx_HMM-fcs_WHERE-bsln_47.08)39.18)38.88_f-cntrQ_233.png,IM_ctLHInEyDk6mPP0,10,hard,h1v1,WHERE
152,3,idc3-sF-rO-qry_wO_gte_1-flips_h1v1-nMasks_10-dMask_medium-dCmplx_HMM-fcs_WHERE-bsln_40.88)39.18)65.74_f-cntrQ_152.png,IM_aWftArP50eOJVIi,10,hard,h1v1,WHERE
125,3,idc3-sF-rO-qry_wO_gte_1-flips_h1v1-nMasks_11-dMask_medium-dCmplx_HMM-fcs_WHAT_Ql-bsln_45.12)65.24)61.78_f-cntrQ_125.png,IM_bO8l4ZlEGVV1JLo,11,hard,h1v1,WHAT_Ql
98,3,idc3-sF-rO-qry_wO_gte_1-flips_h1v1-nMasks_11-dMask_medium-dCmplx_HMM-fcs_WHAT_Qn-bsln_41.64)43.31)59.38_f-cntrQ_98.png,IM_8Dpe2wzSgCGoK10,11,hard,h1v1,WHAT_Qn
206,3,idc3-sF-rO-qry_wO_gte_1-flips_h1v1-nMasks_8-dMask_hard-dCmplx_HMM-fcs_WHAT_Ql-bsln_32.92)65.24)46.95_t-cntrQ_206.png,IM_8oi3hJQSdNwabcO,8,medium,h1v1,WHAT_Ql
179,3,idc3-sF-rO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_HMM-fcs_WHAT_Qn-bsln_49.97)43.31)25.53_f-cntrQ_179.png,IM_cvDTM6azoXiGtfg,9,medium,h1v1,WHAT_Qn
87,31,idc31-eC-gO-qry_rO_gte_1-flips_h1v1-nMasks_5-dMask_medium-dCmplx_MHE-fcs_WHAT_Qn-bsln_36.09)44.19)9.19_t-cntrQ_87.png,IM_erZYlwJmX4idF1Y,5,easy,h1v1,WHAT_Qn
195,31,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_13-dMask_hard-dCmplx_MHE-fcs_WHAT_Ql-bsln_26.10)58.62)53.09_f-cntrQ_195.png,IM_eg7fAnqtLhs8BN4,13,hard,h1v1,WHAT_Ql
168,31,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_14-dMask_hard-dCmplx_MHE-fcs_WHAT_Qn-bsln_43.47)44.19)52.81_t-cntrQ_168.png,IM_cZkMjS5PG5Pq9Ke,14,hard,h1v1,WHAT_Qn
222,31,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_16-dMask_hard-dCmplx_MHE-fcs_WHERE-bsln_20.02)21.76)55.95_t-cntrQ_222.png,IM_8vw37bZF3qwipCe,16,hard,h1v1,WHERE
33,31,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_2-dMask_easy-dCmplx_MHE-fcs_WHAT_Ql-bsln_19.46)58.62)43.80_f-cntrQ_33.png,IM_9TwDAPaSn92xV1Y,2,easy,h1v1,WHAT_Ql
6,31,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_2-dMask_easy-dCmplx_MHE-fcs_WHAT_Qn-bsln_39.26)44.19)44.80_f-cntrQ_6.png,IM_5706Mz8cGHPWmlE,2,easy,h1v1,WHAT_Qn
60,31,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_2-dMask_easy-dCmplx_MHE-fcs_WHERE-bsln_22.25)18.52)44.64_t-cntrQ_60.png,IM_1zRTXpu2m4gNgTc,2,easy,h1v1,WHERE
141,31,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_7-dMask_medium-dCmplx_MHE-fcs_WHERE-bsln_22.32)21.76)43.75_f-cntrQ_141.png,IM_72i0tPnWLNiuODc,7,medium,h1v1,WHERE
