cntrQ,diffB,strTotal
90,0.30760167889087586,idc69-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_MEE-fcs_WHAT_Qn-bsln_69.10)64.01)10.18_f-cntrQ_90
91,-0.1858141804195802,idc61-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MEM-fcs_WHAT_Qn-bsln_48.03)44.19)17.46_t-cntrQ_91
92,-0.5870412906468532,idc38-eC-wO-qry_gO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MEH-fcs_WHAT_Qn-bsln_34.41)37.06)36.42_t-cntrQ_92
93,0.5604832343244992,idc14-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MME-fcs_WHAT_Qn-bsln_19.83)23.96)27.20_f-cntrQ_93
94,-0.09153246589940267,idc59-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MMM-fcs_WHAT_Qn-bsln_76.02)64.01)19.76_t-cntrQ_94
95,0.27180555252687794,idc47-sF-wO-qry_gO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MMH-fcs_WHAT_Qn-bsln_46.67)36.42)34.87_f-cntrQ_95
96,0.15869656463679865,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MHE-fcs_WHAT_Qn-bsln_45.36)44.19)28.18_f-cntrQ_96
97,-0.09289784468864515,idc22-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MHM-fcs_WHAT_Qn-bsln_78.09)77.48)32.25_t-cntrQ_97
98,0.005926613687359639,idc20-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MHH-fcs_WHAT_Qn-bsln_59.64)56.13)22.67_f-cntrQ_98
99,-0.09715201256260109,idc69-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MEE-fcs_WHAT_Qn-bsln_68.08)64.01)20.10_t-cntrQ_99
100,0.12618345063938596,idc61-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_MEM-fcs_WHAT_Qn-bsln_33.77)44.19)26.98_f-cntrQ_100
101,-0.5663801375679874,idc38-eC-wO-qry_gO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_MEH-fcs_WHAT_Qn-bsln_33.55)37.06)38.52_t-cntrQ_101
102,0.5347492288319937,idc14-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_MME-fcs_WHAT_Qn-bsln_20.31)23.96)30.13_f-cntrQ_102
103,0.05145057470669456,idc59-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_MMM-fcs_WHAT_Qn-bsln_69.29)64.01)26.74_f-cntrQ_103
104,0.2714311917339417,idc47-sF-wO-qry_gO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_MMH-fcs_WHAT_Qn-bsln_29.72)36.42)25.36_f-cntrQ_104
105,0.21775598063135365,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_MHE-fcs_WHAT_Qn-bsln_34.39)44.19)20.77_f-cntrQ_105
106,-0.06102229076923088,idc22-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_MHM-fcs_WHAT_Qn-bsln_74.90)77.48)19.35_t-cntrQ_106
